frame,time_sec,x,y,speed,heading_rad,heading_deg,articulation_rad,articulation_deg
10700,10.7,18.9379,9.1205,1.9063,0.3074,17.6101,1.0104,57.8944
10800,10.8,19.1224,9.1686,1.9090,0.1972,11.3000,-1.0472,-60.0000
10900,10.9,19.3076,9.2148,1.9116,0.2970,17.0182,1.0029,57.4621
11000,11.0,19.4931,9.2611,1.9141,0.1866,10.6908,-1.0472,-60.0000
11100,11.1,19.6794,9.3054,1.9166,0.2847,16.3137,0.9940,56.9546
11200,11.2,19.8659,9.3495,1.9189,0.1745,9.9953,-1.0455,-59.9006
11300,11.3,20.0532,9.3914,1.9213,0.2707,15.5115,0.9841,56.3848
11400,11.4,20.2407,9.4333,1.9235,0.1633,9.3586,-1.0328,-59.1760
11500,11.5,20.4290,9.4731,1.9257,0.2582,14.7915,0.9760,55.9201
11600,11.6,20.6174,9.5130,1.9278,0.1534,8.7889,-1.0209,-58.4909
11700,11.7,20.8064,9.5508,1.9299,0.2467,14.1359,0.9675,55.4359
11800,11.8,20.9956,9.5888,1.9319,0.1447,8.2894,-1.0081,-57.7591
11900,11.9,21.1854,9.6251,1.9338,0.2372,13.5907,0.9625,55.1499
12000,12.0,21.3753,9.6616,1.9357,0.1376,7.8862,-0.9960,-57.0671
12100,12.1,21.5658,9.6965,1.9376,0.2295,13.1495,0.9582,54.9036
12200,12.2,21.7563,9.7318,1.9393,0.1324,7.5846,-0.9838,-56.3660
12300,12.3,21.9472,9.7657,1.9411,0.2237,12.8149,0.9544,54.6842
12400,12.4,22.1383,9.8002,1.9428,0.1289,7.3843,-0.9716,-55.6700
12500,12.5,22.3297,9.8335,1.9444,0.2197,12.5869,0.9511,54.4938
12600,12.6,22.5211,9.8675,1.9460,0.1271,7.2813,-0.9599,-55.0008
12700,12.7,22.7129,9.9004,1.9475,0.2175,12.4611,0.9482,54.3300
12800,12.8,22.9047,9.9342,1.9490,0.1269,7.2685,-0.9490,-54.3756
12900,12.9,23.0968,9.9671,1.9505,0.2169,12.4296,0.9458,54.1898
13000,13.0,23.2889,10.0011,1.9519,0.1289,7.3841,-0.9347,-53.5517
13100,13.1,23.4812,10.0344,1.9533,0.2190,12.5461,0.9452,54.1556
13200,13.2,23.6735,10.0689,1.9546,0.1321,7.5686,-0.9275,-53.1408
13300,13.3,23.8660,10.1027,1.9559,0.2195,12.5739,0.9298,53.2749
13400,13.4,24.0584,10.1377,1.9572,0.1360,7.7928,-0.9074,-51.9903
13500,13.5,24.2511,10.1723,1.9584,0.2237,12.8176,0.9311,53.3463
13600,13.6,24.4436,10.2082,1.9596,0.1408,8.0667,-0.9037,-51.7794
13700,13.7,24.6363,10.2437,1.9607,0.2283,13.0779,0.9292,53.2387
13800,13.8,24.8289,10.2806,1.9618,0.1462,8.3754,-0.8982,-51.4616
13900,13.9,25.0216,10.3172,1.9629,0.2335,13.3811,0.9281,53.1777
14000,14.0,25.2142,10.3552,1.9640,0.1520,8.7091,-0.8945,-51.2488
14100,14.1,25.4069,10.3929,1.9650,0.2393,13.7089,0.9270,53.1155
14200,14.2,25.5994,10.4321,1.9660,0.1581,9.0588,-0.8916,-51.0876
14300,14.3,25.7921,10.4711,1.9670,0.2453,14.0539,0.9261,53.0611
14400,14.4,25.9846,10.5115,1.9679,0.1644,9.4170,-0.8898,-50.9803
14500,14.5,26.1773,10.5517,1.9689,0.2515,14.4079,0.9252,53.0119
14600,14.6,26.3697,10.5933,1.9697,0.1706,9.7771,-0.8887,-50.9173
14700,14.7,26.5622,10.6347,1.9706,0.2577,14.7646,0.9245,52.9679
14800,14.8,26.7546,10.6776,1.9714,0.1769,10.1339,-0.8882,-50.8921
14900,14.9,26.9470,10.7203,1.9723,0.2639,15.1185,0.9238,52.9288
15000,15.0,27.1392,10.7644,1.9731,0.1830,10.4829,-0.8883,-50.8983
15100,15.1,27.3316,10.8082,1.9738,0.2699,15.4653,0.9232,52.8941
15200,15.2,27.5237,10.8535,1.9746,0.1889,10.8209,-0.8889,-50.9299
15300,15.3,27.7159,10.8985,1.9753,0.2758,15.8016,0.9226,52.8637
15400,15.4,27.9079,10.9450,1.9760,0.1945,11.1451,-0.8898,-50.9819
15500,15.5,28.1000,10.9911,1.9767,0.2814,16.1245,0.9222,52.8371
15600,15.6,28.2918,11.0386,1.9774,0.1999,11.4535,-0.8910,-51.0498
15700,15.7,28.4838,11.0858,1.9780,0.2868,16.4321,0.9218,52.8142
15800,15.8,28.6755,11.1344,1.9786,0.2050,11.7447,-0.8924,-51.1296
15900,15.9,28.8674,11.1826,1.9792,0.2919,16.7230,0.9214,52.7947
16000,16.0,29.0590,11.2321,1.9798,0.2098,12.0178,-0.8939,-51.2180
16100,16.1,29.2507,11.2813,1.9804,0.2966,16.9962,0.9212,52.7782
16200,16.2,29.4422,11.3317,1.9810,0.2142,12.2724,-0.8956,-51.3121
16300,16.3,29.6339,11.3817,1.9815,0.3011,17.2511,0.9209,52.7645
16400,16.4,29.8252,11.4330,1.9820,0.2183,12.5082,-0.8973,-51.4096
16500,16.5,30.0168,11.4839,1.9826,0.3052,17.4875,0.9207,52.7533
16600,16.6,30.2080,11.5359,1.9831,0.2221,12.7253,-0.8990,-51.5084
16700,16.7,30.3995,11.5876,1.9835,0.3090,17.7055,0.9206,52.7444
16800,16.8,30.5906,11.6403,1.9840,0.2256,12.9241,-0.9007,-51.6070
16900,16.9,30.7820,11.6925,1.9845,0.3109,17.8153,0.9116,52.2323
17000,17.0,30.9729,11.7467,1.9849,0.2384,13.6603,-0.8313,-47.6273
17100,17.1,31.1637,11.8012,1.9853,0.3220,18.4517,0.9014,51.6467
17200,17.2,31.3538,11.8584,1.9858,0.2603,14.9140,-0.7507,-43.0127
17300,17.3,31.5435,11.9170,1.9862,0.3430,19.6502,0.8956,51.3116
17400,17.4,31.7322,11.9790,1.9866,0.2894,16.5802,-0.6804,-38.9816
17500,17.5,31.9202,12.0431,1.9869,0.3713,21.2722,0.8908,51.0379
17600,17.6,32.1069,12.1110,1.9873,0.3237,18.5487,-0.6225,-35.6643
17700,17.7,32.2927,12.1814,1.9877,0.4049,23.2012,0.8865,50.7900
17800,17.8,32.4770,12.2559,1.9880,0.3616,20.7204,-0.5788,-33.1626
17900,17.9,32.6601,12.3333,1.9884,0.4422,25.3343,0.8822,50.5460
18000,18.0,32.8414,12.4149,1.9887,0.4017,23.0142,-0.5484,-31.4208
18100,18.1,33.0213,12.4996,1.9890,0.4821,27.6248,0.8817,50.5168
18200,18.2,33.1992,12.5885,1.9893,0.4424,25.3495,-0.5396,-30.9185
18300,18.3,33.3753,12.6809,1.9896,0.5287,30.2947,0.9157,52.4630
18400,18.4,33.5494,12.7773,1.9899,0.4806,27.5353,-0.6280,-35.9836
18500,18.5,33.7217,12.8767,1.9902,0.5693,32.6201,0.9289,53.2228
18600,18.6,33.8919,12.9799,1.9905,0.5189,29.7288,-0.6503,-37.2572
18700,18.7,34.0602,13.0861,1.9908,0.6122,35.0755,0.9527,54.5848
18800,18.8,34.2261,13.1961,1.9910,0.5561,31.8641,-0.7013,-40.1836
18900,18.9,34.3902,13.3088,1.9913,0.6519,37.3483,0.9645,55.2618
19000,19.0,34.5518,13.4251,1.9915,0.5926,33.9558,-0.7284,-41.7326
